episode,total,average,min,max,std,median
67,38368110.162597656,171286.20608302526,-47962.3515625,755763.625,167605.23574597563,183086.9609375
68,83561986.05957031,331595.18277607264,-35845.40625,822053.0625,108806.15727203354,314134.0625
69,83065532.30957031,336297.7016581794,-43106.6171875,903596.0625,125606.05333256043,321451.84375
70,83412847.82421875,334991.3567237701,-29797.869140625,879596.25,112766.96130886136,311446.0625
71,76763681.95507812,312047.4876222688,-35636.65234375,680721.9375,113819.7303730789,307971.6875
72,60578567.478027344,254531.7961261653,-48010.7734375,781233.3125,165372.71041842943,284549.328125
73,36218063.244628906,157469.84019403873,-50961.52734375,698292.5625,176701.55995908362,123995.92578125
74,47650307.481933594,208079.94533595454,-51077.6796875,770059.0625,186448.25748670727,240050.53125
75,70661035.73828125,293199.31841610477,-46568.65625,761261.5,140884.07518250073,299004.875
76,42629583.810546875,186155.38781898198,-55588.62890625,724792.8125,176230.61262673026,217668.078125
77,65005773.79736328,267513.47241713287,-42673.734375,700807.5625,148592.34443247187,288244.78125
78,77400641.78271484,312099.36202707596,-35339.52734375,775547.4375,125969.95953815221,311569.859375
79,70892081.96728516,294158.0164617641,-44201.81640625,690775.125,135836.57114646127,307377.65625
80,75387275.80664062,306452.34067740093,-35772.6875,632173.0625,138480.05055684,308940.421875
81,69092003.46923828,287883.34778849286,-41616.640625,751087.6875,141967.52734675442,295804.015625
82,84693093.49609375,336083.70434957836,-42065.91015625,740306.4375,105074.82148682897,319060.59375
83,84998084.28125,344121.79870951414,-28745.083984375,843902.75,101901.88103031783,323217.375
84,59273869.439453125,246974.45599772135,-45073.27734375,968947.0625,159604.4460983572,279390.53125
